"","dias","beta"
"1",1,0.38
"2",2,0.38
"3",3,0.38
"4",4,0.38
"5",5,0.38
"6",6,0.38
"7",7,0.38
"8",8,0.38
"9",9,0.38
"10",10,0.38
"11",11,0.38
"12",12,0.38
"13",13,0.38
"14",14,0.38
"15",15,0.38
"16",16,0.38
"17",17,0.38
"18",18,0.38
"19",19,0.38
"20",20,0.38
"21",21,0.38
"22",22,0.38
"23",23,0.38
"24",24,0.38
"25",25,0.38
"26",26,0.38
"27",27,0.38
"28",28,0.38
"29",29,0.38
"30",30,0.38
"31",31,0.38
"32",32,0.38
"33",33,0.38
"34",34,0.38
"35",35,0.38
"36",36,0.38
"37",37,0.38
"38",38,0.38
"39",39,0.38
"40",40,0.38
"41",41,0.38
"42",42,0.38
"43",43,0.38
"44",44,0.38
"45",45,0.38
"46",46,0.38
"47",47,0.38
"48",48,0.38
"49",49,0.38
"50",50,0.38
"51",51,0.38
"52",52,0.38
"53",53,0.38
"54",54,0.38
"55",55,0.38
"56",56,0.38
"57",57,0.38
"58",58,0.38
"59",59,0.38
"60",60,0.38
"61",61,0.38
"62",62,0.38
"63",63,0.38
"64",64,0.38
"65",65,0.38
"66",66,0.38
"67",67,0.38
"68",68,0.38
"69",69,0.38
"70",70,0.38
"71",71,0.38
"72",72,0.38
"73",73,0.38
"74",74,0.38
"75",75,0.38
"76",76,0.38
"77",77,0.38
"78",78,0.38
"79",79,0.38
"80",80,0.38
"81",81,0.38
"82",82,0.38
"83",83,0.38
"84",84,0.415
"85",85,0.45
"86",86,0.485
"87",87,0.52
"88",88,0.555
"89",89,0.59
"90",90,0.625
"91",91,0.625833333333333
"92",92,0.626666666666667
"93",93,0.6275
"94",94,0.628333333333333
"95",95,0.629166666666667
"96",96,0.63
"97",97,0.630833333333333
"98",98,0.631666666666667
"99",99,0.6325
"100",100,0.633333333333333
"101",101,0.634166666666667
"102",102,0.635
"103",103,0.635833333333333
"104",104,0.636666666666667
"105",105,0.6375
"106",106,0.638333333333333
"107",107,0.639166666666667
"108",108,0.64
"109",109,0.640833333333333
"110",110,0.641666666666667
"111",111,0.6425
"112",112,0.643333333333333
"113",113,0.644166666666667
"114",114,0.645
"115",115,0.645833333333333
"116",116,0.646666666666667
"117",117,0.6475
"118",118,0.648333333333333
"119",119,0.649166666666667
"120",120,0.65
"121",121,0.631333333333333
"122",122,0.612666666666667
"123",123,0.594
"124",124,0.575333333333333
"125",125,0.556666666666667
"126",126,0.538
"127",127,0.519333333333333
"128",128,0.500666666666667
"129",129,0.482
"130",130,0.463333333333333
"131",131,0.444666666666667
"132",132,0.426
"133",133,0.407333333333333
"134",134,0.388666666666667
"135",135,0.37
"136",136,0.358666666666667
"137",137,0.347333333333333
"138",138,0.336
"139",139,0.324666666666667
"140",140,0.313333333333333
"141",141,0.302
"142",142,0.290666666666667
"143",143,0.279333333333333
"144",144,0.268
"145",145,0.256666666666667
"146",146,0.245333333333333
"147",147,0.234
"148",148,0.222666666666667
"149",149,0.211333333333333
"150",150,0.2
"151",151,0.1998
"152",152,0.1996
"153",153,0.1994
"154",154,0.1992
"155",155,0.199
"156",156,0.1988
"157",157,0.1986
"158",158,0.1984
"159",159,0.1982
"160",160,0.198
"161",161,0.1978
"162",162,0.1976
"163",163,0.1974
"164",164,0.1972
"165",165,0.197
"166",166,0.1968
"167",167,0.1966
"168",168,0.1964
"169",169,0.1962
"170",170,0.196
"171",171,0.1958
"172",172,0.1956
"173",173,0.1954
"174",174,0.1952
"175",175,0.195
"176",176,0.1948
"177",177,0.1946
"178",178,0.1944
"179",179,0.1942
"180",180,0.194
"181",181,0.1938
"182",182,0.1936
"183",183,0.1934
"184",184,0.1932
"185",185,0.193
"186",186,0.1928
"187",187,0.1926
"188",188,0.1924
"189",189,0.1922
"190",190,0.192
"191",191,0.1918
"192",192,0.1916
"193",193,0.1914
"194",194,0.1912
"195",195,0.191
"196",196,0.1908
"197",197,0.1906
"198",198,0.1904
"199",199,0.1902
"200",200,0.19
"201",201,0.1898
"202",202,0.1896
"203",203,0.1894
"204",204,0.1892
"205",205,0.189
"206",206,0.1888
"207",207,0.1886
"208",208,0.1884
"209",209,0.1882
"210",210,0.188
"211",211,0.1878
"212",212,0.1876
"213",213,0.1874
"214",214,0.1872
"215",215,0.187
"216",216,0.1868
"217",217,0.1866
"218",218,0.1864
"219",219,0.1862
"220",220,0.186
"221",221,0.1858
"222",222,0.1856
"223",223,0.1854
"224",224,0.1852
"225",225,0.185
"226",226,0.1848
"227",227,0.1846
"228",228,0.1844
"229",229,0.1842
"230",230,0.184
"231",231,0.1838
"232",232,0.1836
"233",233,0.1834
"234",234,0.1832
"235",235,0.183
"236",236,0.1828
"237",237,0.1826
"238",238,0.1824
"239",239,0.1822
"240",240,0.182
"241",241,0.1818
"242",242,0.1816
"243",243,0.1814
"244",244,0.1812
"245",245,0.181
"246",246,0.1808
"247",247,0.1806
"248",248,0.1804
"249",249,0.1802
"250",250,0.18
"251",251,0.182
"252",252,0.184
"253",253,0.186
"254",254,0.188
"255",255,0.19
"256",256,0.192
"257",257,0.194
"258",258,0.196
"259",259,0.198
"260",260,0.2
"261",261,0.202
"262",262,0.204
"263",263,0.206
"264",264,0.208
"265",265,0.21
"266",266,0.212
"267",267,0.214
"268",268,0.216
"269",269,0.218
"270",270,0.22
"271",271,0.222
"272",272,0.224
"273",273,0.226
"274",274,0.228
"275",275,0.23
"276",276,0.232
"277",277,0.234
"278",278,0.236
"279",279,0.238
"280",280,0.24
"281",281,0.242
"282",282,0.244
"283",283,0.246
"284",284,0.248
"285",285,0.25
"286",286,0.252
"287",287,0.254
"288",288,0.256
"289",289,0.258
"290",290,0.26
"291",291,0.262
"292",292,0.264
"293",293,0.266
"294",294,0.268
"295",295,0.27
"296",296,0.297
"297",297,0.324
"298",298,0.351
"299",299,0.378
"300",300,0.405
"301",301,0.432
"302",302,0.459
"303",303,0.486
"304",304,0.513
"305",305,0.54
"306",306,0.524
"307",307,0.508
"308",308,0.492
"309",309,0.476
"310",310,0.46
"311",311,0.444
"312",312,0.428
"313",313,0.412
"314",314,0.396
"315",315,0.38
"316",316,0.364
"317",317,0.348
"318",318,0.332
"319",319,0.316
"320",320,0.3
"321",321,0.284
"322",322,0.268
"323",323,0.252
"324",324,0.236
"325",325,0.22
"326",326,0.217333333333333
"327",327,0.214666666666667
"328",328,0.212
"329",329,0.209333333333333
"330",330,0.206666666666667
"331",331,0.204
"332",332,0.201333333333333
"333",333,0.198666666666667
"334",334,0.196
"335",335,0.193333333333333
"336",336,0.190666666666667
"337",337,0.188
"338",338,0.185333333333333
"339",339,0.182666666666667
"340",340,0.18
"341",341,0.1916
"342",342,0.2032
"343",343,0.2148
"344",344,0.2264
"345",345,0.238
"346",346,0.2496
"347",347,0.2612
"348",348,0.2728
"349",349,0.2844
"350",350,0.296
"351",351,0.3076
"352",352,0.3192
"353",353,0.3308
"354",354,0.3424
"355",355,0.354
"356",356,0.3656
"357",357,0.3772
"358",358,0.3888
"359",359,0.4004
"360",360,0.412
"361",361,0.4236
"362",362,0.4352
"363",363,0.4468
"364",364,0.4584
"365",365,0.47
"366",366,0.413333333333333
"367",367,0.356666666666667
"368",368,0.3
"369",369,0.243333333333333
"370",370,0.186666666666667
"371",371,0.13
"372",372,0.131666666666667
"373",373,0.133333333333333
"374",374,0.135
"375",375,0.136666666666667
"376",376,0.138333333333333
"377",377,0.14
"378",378,0.141666666666667
"379",379,0.143333333333333
"380",380,0.145
"381",381,0.146666666666667
"382",382,0.148333333333333
"383",383,0.15
"384",384,0.151666666666667
"385",385,0.153333333333333
"386",386,0.155
"387",387,0.156666666666667
"388",388,0.158333333333333
"389",389,0.16
"390",390,0.161666666666667
"391",391,0.163333333333333
"392",392,0.165
"393",393,0.166666666666667
"394",394,0.168333333333333
"395",395,0.17
"396",396,0.170357142857143
"397",397,0.170714285714286
"398",398,0.171071428571429
"399",399,0.171428571428571
"400",400,0.171785714285714
"401",401,0.172142857142857
"402",402,0.1725
"403",403,0.172857142857143
"404",404,0.173214285714286
"405",405,0.173571428571429
"406",406,0.173928571428571
"407",407,0.174285714285714
"408",408,0.174642857142857
"409",409,0.175
"410",410,0.175357142857143
"411",411,0.175714285714286
"412",412,0.176071428571429
"413",413,0.176428571428571
"414",414,0.176785714285714
"415",415,0.177142857142857
"416",416,0.1775
"417",417,0.177857142857143
"418",418,0.178214285714286
"419",419,0.178571428571429
"420",420,0.178928571428571
"421",421,0.179285714285714
"422",422,0.179642857142857
"423",423,0.18
